rank	score
0.001	1.26446
0.002	1.1698
0.003	1.10191
0.004	1.00269
0.005	0.96048
0.006	0.88531
0.007	0.83693
0.008	0.81816
0.009	0.75902
0.01	0.74208
0.02	0.51614
0.03	0.38872
0.04	0.29492
0.05	0.22536
0.06	0.15533
0.07	0.10302
0.08	0.06039
0.09	0.02897
0.1	0.0
0.2	-0.2502
0.3	-0.40948
0.4	-0.52573
0.5	-0.62076
0.6	-0.70467
0.7	-0.77679
0.8	-0.83726
0.9	-0.89112
1.0	-0.94044
2.0	-1.28073
3.0	-1.49808
4.0	-1.66057
5.0	-1.78994
6.0	-1.90033
7.0	-1.99638
8.0	-2.08082
9.0	-2.15717
10.0	-2.22851
20.0	-2.75671
30.0	-3.12975
40.0	-3.43877
50.0	-3.71973
60.0	-3.99121
70.0	-4.27055
80.0	-4.58536
90.0	-5.00547
100.0	-7.80666
