rank	score
0.001	1.3223
0.002	1.18317
0.003	1.11029
0.004	1.0193
0.005	0.98318
0.006	0.91109
0.007	0.87022
0.008	0.83821
0.009	0.81617
0.01	0.79592
0.02	0.565
0.03	0.43102
0.04	0.32342
0.05	0.26203
0.06	0.19367
0.07	0.13417
0.08	0.08412
0.09	0.04
0.1	0.0
0.2	-0.32459
0.3	-0.52894
0.4	-0.68045
0.5	-0.78918
0.6	-0.88507
0.7	-0.97617
0.8	-1.05076
0.9	-1.11595
1.0	-1.17179
2.0	-1.55012
3.0	-1.77827
4.0	-1.93836
5.0	-2.06396
6.0	-2.16964
7.0	-2.25806
8.0	-2.33806
9.0	-2.40846
10.0	-2.47437
20.0	-2.94359
30.0	-3.27083
40.0	-3.55021
50.0	-3.80933
60.0	-4.07019
70.0	-4.34722
80.0	-4.67092
90.0	-5.1195
100.0	-8.54537
