rank	score
0.001	1.30585
0.002	1.10479
0.003	1.02398
0.004	1.00462
0.005	0.95181
0.006	0.91382
0.007	0.85633
0.008	0.83275
0.009	0.81158
0.01	0.78976
0.02	0.57921
0.03	0.44674
0.04	0.34928
0.05	0.26972
0.06	0.19686
0.07	0.13537
0.08	0.08585
0.09	0.03197
0.1	0.0
0.2	-0.27342
0.3	-0.43287
0.4	-0.54591
0.5	-0.64129
0.6	-0.72344
0.7	-0.79296
0.8	-0.85472
0.9	-0.9117
1.0	-0.95927
2.0	-1.29561
3.0	-1.50824
4.0	-1.66727
5.0	-1.79453
6.0	-1.90371
7.0	-1.99818
8.0	-2.08344
9.0	-2.16095
10.0	-2.22915
20.0	-2.73947
30.0	-3.08703
40.0	-3.37416
50.0	-3.63677
60.0	-3.8916
70.0	-4.15903
80.0	-4.46698
90.0	-4.89068
100.0	-7.8629
